Game 96: Score = 776, Max Tile = 64, Time = 0.0329 seconds
Game 97: Score = 640, Max Tile = 64, Time = 0.0248 seconds
Game 98: Score = 1564, Max Tile = 128, Time = 0.0693 seconds
Game 99: Score = 1204, Max Tile = 64, Time = 0.0547 seconds
Game 100: Score = 1508, Max Tile = 128, Time = 0.0705 seconds
Game 101: Score = 1664, Max Tile = 128, Time = 0.0434 seconds
Game 102: Score = 472, Max Tile = 64, Time = 0.0057 seconds
Game 103: Score = 568, Max Tile = 64, Time = 0.0303 seconds
Game 104: Score = 1608, Max Tile = 128, Time = 0.0348 seconds
Game 105: Score = 716, Max Tile = 64, Time = 0.0092 seconds
Game 106: Score = 1364, Max Tile = 128, Time = 0.0490 seconds
Game 107: Score = 1188, Max Tile = 128, Time = 0.0488 seconds
Game 108: Score = 1224, Max Tile = 128, Time = 0.0362 seconds
Game 109: Score = 1492, Max Tile = 128, Time = 0.0570 seconds
Game 110: Score = 1608, Max Tile = 128, Time = 0.0397 seconds
Game 111: Score = 1332, Max Tile = 128, Time = 0.0109 seconds
Game 112: Score = 564, Max Tile = 32, Time = 0.0438 seconds
Game 113: Score = 436, Max Tile = 32, Time = 0.0141 seconds
Game 114: Score = 1984, Max Tile = 128, Time = 0.0454 seconds
Game 115: Score = 1076, Max Tile = 128, Time = 0.0230 seconds
Game 116: Score = 1364, Max Tile = 128, Time = 0.0400 seconds
Game 117: Score = 664, Max Tile = 64, Time = 0.0298 seconds
Game 118: Score = 904, Max Tile = 64, Time = 0.0114 seconds
Game 119: Score = 328, Max Tile = 32, Time = 0.0271 seconds
Game 120: Score = 1228, Max Tile = 128, Time = 0.0313 seconds
Game 121: Score = 1036, Max Tile = 128, Time = 0.0254 seconds
Game 122: Score = 572, Max Tile = 64, Time = 0.0171 seconds
Game 123: Score = 824, Max Tile = 64, Time = 0.0326 seconds
Game 124: Score = 2356, Max Tile = 256, Time = 0.0423 seconds
Game 125: Score = 924, Max Tile = 128, Time = 0.0249 seconds
Game 126: Score = 1092, Max Tile = 64, Time = 0.0290 seconds
Game 127: Score = 1840, Max Tile = 128, Time = 0.0416 seconds
Game 128: Score = 580, Max Tile = 64, Time = 0.0340 seconds
Game 129: Score = 736, Max Tile = 64, Time = 0.0310 seconds
Game 130: Score = 692, Max Tile = 64, Time = 0.0170 seconds
Game 131: Score = 592, Max Tile = 64, Time = 0.0186 seconds
Game 132: Score = 732, Max Tile = 64, Time = 0.0203 seconds
Game 133: Score = 1412, Max Tile = 128, Time = 0.0255 seconds
Game 134: Score = 884, Max Tile = 64, Time = 0.0250 seconds
Game 135: Score = 280, Max Tile = 32, Time = 0.0125 seconds
